station_name,station_number,lat,lon,elev_m,utc_offset,koeppen,climate_region,tract_geoid10,urbanicity,cbsa_code,cbsa_name,lsad10
KS_LAWRENCE-MUNI-AP,724508,39.008,-95.212,251,-6,Cfa,Mixed-Humid,20045000100,suburban/small town,29940,"Lawrence, KS Metro Area",M1
KS_LIBERAL-MUNI,724516,37.05,-100.967,875,-6,BSk,Mixed-Humid,20175965800,suburban/small town,30580,"Liberal, KS Micro Area",M2
KS_LYONS-RICE-CO-MUNI,720781,38.343,-98.227,515,-6,Cfa,Mixed-Humid,20159967200,rural,,,
KS_MANHATTAN-RGNL-AP,724555,39.135,-96.679,319,-6,Cfa,Mixed-Humid,20161000900,suburban/small town,31740,"Manhattan, KS Metro Area",M1
KS_MEDICINE-LODGE-ASOS,724520,37.284,-98.553,467,-6,Cfa,Mixed-Humid,20007968100,rural,,,
KS_NEWTON(AWOS),724509,38.068,-97.275,467,-6,Cfa,Mixed-Humid,20079030500,rural,48620,"Wichita, KS Metro Area",M1
KS_NORTON-MUNI,720433,39.85,-99.895,726,-6,Dfb,Cold & Very Cold,20137951700,rural,,,
KS_OAKLEY-MUNI,720434,39.11,-100.816,928,-6,Dfb,Cold & Very Cold,20109954600,rural,,,
KS_OLATHE-JOHNSON-CO-INDUSTRL,724475,38.822,-94.89,321,-6,Cfa,Mixed-Humid,20091053711,suburban/small town,28140,"Kansas City, MO-KS Metro Area",M1
KS_OLATHE-JOHNSON-CO,724468,38.85,-94.739,327,-6,Cfa,Mixed-Humid,20091053406,suburban/small town,28140,"Kansas City, MO-KS Metro Area",M1
KS_PARSONS-TRI-CITY,745431,37.328,-95.504,263,-6,Cfa,Mixed-Humid,20099950500,rural,37660,"Parsons, KS Micro Area",M2
KS_PRATT-MUNI-AP,745430,37.702,-98.747,595,-6,Cfa,Mixed-Humid,20151968600,rural,,,
KS_RUSSELL-MUNI-AP,724585,38.873,-98.809,568,-6,Cfa,Mixed-Humid,20167973800,rural,,,
KS_SALINA-MUNI-AP,724586,38.78,-97.644,385,-6,Cfa,Mixed-Humid,20169000600,rural,41460,"Salina, KS Micro Area",M2
KS_SCOTT-CITY-MUNI,720438,38.474,-100.885,903,-6,BSk,Cold & Very Cold,20171957100,rural,,,
KS_SHALTZ-FIELD-AP,720422,39.428,-101.046,971,-6,Dfb,Cold & Very Cold,20193953100,rural,,,
KS_TOPEKA-FORBES-FIELD,724565,38.941,-95.651,315,-6,Cfa,Mixed-Humid,20177003700,suburban/small town,45820,"Topeka, KS Metro Area",M1
KS_ULYSSES,720439,37.604,-101.374,934,-6,BSk,Mixed-Humid,20067963700,rural,,,
KS_WICHITA-COL-JABARA,724504,37.75,-97.219,428,-6,Cfa,Mixed-Humid,20173010116,suburban/small town,48620,"Wichita, KS Metro Area",M1
KS_WICHITA-MID-CONTINENT-AP,724500,37.648,-97.43,401,-6,Cfa,Mixed-Humid,20173009200,suburban/small town,48620,"Wichita, KS Metro Area",M1
KS_WINFIELD-ARK-CITY,724502,37.165,-97.035,351,-6,Cfa,Mixed-Humid,20035493300,rural,49060,"Winfield, KS Micro Area",M2
KY_ADDINGTON-FLD,720451,37.686,-85.925,236,-6,BSk,Mixed-Humid,21093001700,rural,21060,"Elizabethtown, KY Metro Area",M1
KY_ASHLAND-RGNL,720449,38.555,-82.738,166,-6,BSk,Mixed-Humid,21089040300,suburban/small town,26580,"Huntington-Ashland, WV-KY-OH Metro Area",M1
KY_BIG-SANDY-REGIONAL-AP,720458,37.751,-82.637,372,-5,Cfa,Mixed-Humid,21159950200,rural,,,
KY_BOWLING-GREEN-WARREN-CO-AP,746716,36.965,-86.424,159,-6,Cfa,Mixed-Humid,21227011401,suburban/small town,14540,"Bowling Green, KY Metro Area",M1
KY_CAMPBELLVILLE-TAYLOR-CO,720445,37.358,-85.309,280,-6,BSk,Mixed-Humid,21217920500,rural,15820,"Campbellsville, KY Micro Area",M2
KY_CAPITAL-CITY-AP,724233,38.185,-84.904,236,-5,Cfa,Mixed-Humid,21073070401,suburban/small town,23180,"Frankfort, KY Micro Area",M2
KY_CINCINNATI-NORTHERN-KY-AP,724210,39.044,-84.672,262,-5,Cfa,Mixed-Humid,21015980100,lower density urban,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",M1
KY_FLEMING-MASON-AP,720452,38.542,-83.743,278,-6,BSk,Mixed-Humid,21161960100,rural,32500,"Maysville, KY Micro Area",M2
KY_FORT-CAMPBELL(AAF),746710,36.667,-87.483,174,-6,Cfa,Mixed-Humid,21047201503,lower density urban,17300,"Clarksville, TN-KY Metro Area",M1
KY_FORT-KNOX-GODMAN-AAF,724240,37.9,-85.967,230,-5,Cfa,Mixed-Humid,21093980100,suburban/small town,21060,"Elizabethtown, KY Metro Area",M1
KY_GLASGOW,722322,37.033,-85.95,218,-6,Cfa,Mixed-Humid,21009950300,rural,23980,"Glasgow, KY Micro Area",M2
KY_HENDERSON-CITY,724238,37.8,-87.683,118,-6,Cfa,Mixed-Humid,21101020900,rural,21780,"Evansville, IN-KY Metro Area",M1
KY_JULIAN-CARROLL-AP,724190,37.591,-83.314,413,-5,Cfa,Mixed-Humid,21025920400,rural,,,
KY_KYLE-OAKLEY-FIELD-AP,720447,36.665,-88.373,176,-6,BSk,Mixed-Humid,21035010200,rural,34660,"Murray, KY Micro Area",M2
KY_LONDON-CORBIN-AP,724243,37.09,-84.069,360,-5,Cfa,Mixed-Humid,21125970700,suburban/small town,30940,"London, KY Micro Area",M2
KY_LOUISVILLE-STANDIFORD-FIEL,724230,38.177,-85.731,146,-5,Cfa,Mixed-Humid,21111980100,lower density urban,31140,"Louisville/Jefferson County, KY-IN Metro Area",M1
KY_MADISON-RICHMOND,720455,37.633,-84.333,30,-5,,Mixed-Humid,21151011400,rural,40080,"Richmond-Berea, KY Micro Area",M2
KY_MIDDLESBORO,720353,36.611,-83.738,351,-5,Cfa,Mixed-Humid,21013960700,suburban/small town,33180,"Middlesborough, KY Micro Area",M2
KY_MT-STERLING-MONTG,720456,38.067,-83.983,311,-5,Cfa,Mixed-Humid,21173920301,rural,34460,"Mount Sterling, KY Micro Area",M2
KY_OWENSBORO-DAVIESS-C,724237,37.75,-87.167,122,-6,Cfa,Mixed-Humid,21059001701,suburban/small town,36980,"Owensboro, KY Metro Area",M1
KY_PADUCAH-BARKLEY-RGNL-AP,724350,37.056,-88.774,124,-6,Cfa,Mixed-Humid,21145031500,rural,37140,"Paducah, KY-IL Micro Area",M2
KY_PIKE-CO-HATCHER-FLD,720464,37.562,-82.566,449,-6,Cfa,Mixed-Humid,21195930200,rural,,,
KY_SAMUELS-FLD-BARDSTOWN,720446,37.814,-85.5,203,-6,BSk,Mixed-Humid,21179930301,rural,31140,"Louisville/Jefferson County, KY-IN Metro Area",M1
KY_SOMERSET-PULASKI-CO,724354,37.054,-84.615,282,-5,Cfa,Mixed-Humid,21199930600,suburban/small town,43700,"Somerset, KY Micro Area",M2
KY_STUART-POWELL-FIELD-AP,720448,37.578,-84.77,312,-6,BSk,Mixed-Humid,21137920102,rural,19220,"Danville, KY Micro Area",M2
KY_STURGIS-AAF-KY,749077,37.541,-87.952,11,-6,,Mixed-Humid,21225950300,rural,,,
KY_WAYNE-CO,720379,36.855,-84.856,293,-5,Cfa,Mixed-Humid,21231920200,rural,,,
KY_WENDELL-H-FORD-ARPT,720457,37.387,-83.262,383,-6,Cfa,Mixed-Humid,21193970300,rural,,,
KY_WILLIAMSBURG-(WHITLEY-CO-A,720465,36.8,-84.2,358,-6,Cfa,Mixed-Humid,21235920400,rural,18340,"Corbin, KY Micro Area",M2
LA_ABBEVILLE-C-CRUSTA-MEM-AP,720587,29.976,-92.084,15,-6,Cfa,Hot-Humid,22113950902,rural,10020,"Abbeville, LA Micro Area",M2
LA_ALEXANDRIA-ESLER-RGNL-AP,722487,31.396,-92.283,26,-6,Cfa,Hot-Humid,22079013700,suburban/small town,10780,"Alexandria, LA Metro Area",M1
LA_ALEXANDRIA-IAP,747540,31.335,-92.558,25,-6,Cfa,Hot-Humid,22079980000,lower density urban,10780,"Alexandria, LA Metro Area",M1
LA_ALLEN-PARISH-AP,720346,30.75,-92.688,32,-6,Cfa,Hot-Humid,22003950400,rural,,,
LA_BARKSDALE-AFB,722485,32.5,-93.667,50,-6,Cfa,Hot-Humid,22015010900,suburban/small town,43340,"Shreveport-Bossier City, LA Metro Area",M1
LA_DE-RIDDER,722334,30.833,-93.333,62,-6,Cfa,Hot-Humid,22011960500,rural,19760,"DeRidder, LA Micro Area",M2
LA_FALSE-RIVER-RGNL-AP,720967,30.718,-91.479,12,-6,Cfa,Hot-Humid,22077951900,rural,12940,"Baton Rouge, LA Metro Area",M1
LA_FORT-POLK-AAF,722390,31.05,-93.183,100,-6,Cfa,Hot-Humid,22115950701,rural,22860,"Fort Polk South, LA Micro Area",M2
LA_FULLERTON-LANDING-ST,722821,31.022,-92.911,94,-6,Cfa,Hot-Humid,22115950701,rural,22860,"Fort Polk South, LA Micro Area",M2
LA_GALLIANO-LAFOURCHE,722041,29.445,-90.261,0,-6,Cfa,Hot-Humid,22057021100,rural,26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",M1
LA_GEORGE-R-CARR-MEM-AIR,720467,30.817,-89.867,36,-6,Cfa,Hot-Humid,22117950101,rural,14220,"Bogalusa, LA Micro Area",M2
LA_GRAND-CHEINER,722294,29.8,-92.804,2,-6,Cfa,Hot-Humid,22023970100,rural,29340,"Lake Charles, LA Metro Area",M1
LA_HAMMOND,722312,30.521,-90.418,13,-6,Cfa,Hot-Humid,22105954002,suburban/small town,25220,"Hammond, LA Micro Area",M2
LA_HOUMA-TERREBONNE-AP,722406,29.566,-90.66,2,-6,Cfa,Hot-Humid,22109000700,lower density urban,26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",M1
LA_LAFAYETTE-RGNL-AP,722405,30.199,-91.99,10,-6,Cfa,Hot-Humid,22055980000,lower density urban,29180,"Lafayette, LA Metro Area",M1
LA_LAKE-CHARLES-RGNL-AP,722400,30.126,-93.228,2,-6,Cfa,Hot-Humid,22019980100,lower density urban,29340,"Lake Charles, LA Metro Area",M1
LA_LAKE-CHARLES-WB-AP,722404,30.21,-93.143,5,-6,Cfa,Hot-Humid,22019980000,rural,29340,"Lake Charles, LA Metro Area",M1
LA_LOUISIANA-RGNL-AP,721046,30.173,-90.941,4,-6,Cfa,Hot-Humid,22005030600,suburban/small town,12940,"Baton Rouge, LA Metro Area",M1
